S0,S_close,prior_vix,sigma_daily_pct,short_call_K,long_call_K,short_put_K,long_put_K,wing_width_pts,net_credit_per_share,max_loss_per_contract,pnl_per_share,pnl_per_contract,pnl_total,winner,date,skipped,skip_reason
4028.0,4038.5,25.559999465942383,1.6101286213768404,4190.139952172648,4232.0413516943745,3865.860047827352,3827.2014473490785,41.90139952172649,4.329343403269856e-08,4190.139947843306,4.329343403269856e-08,4.329343403269856e-06,4.329343403269856e-06,True,2022-08-29,False,
4043.5,3978.75,26.209999084472656,1.6510747485891726,4210.403018648009,4252.507048834489,3876.596981351992,3837.831011538472,42.104030186480486,4.502232482736964e-08,4210.403014145816,4.502232482736964e-08,4.502232482736964e-06,4.502232482736964e-06,True,2022-08-30,False,
4004.0,3968.25,26.209999084472656,1.6510747485891726,4169.272582333776,4210.965308157114,3838.7274176662236,3800.3401434895613,41.69272582333815,4.458251233049175e-08,4169.272577875564,4.458251233049175e-08,4.458251233049175e-06,4.458251233049175e-06,True,2022-08-31,False,
3932.0,3957.0,25.8700008392334,1.6296568723248528,4092.195270549533,4133.117223255028,3771.8047294504668,3734.086682155962,40.92195270549519,4.2981920812389586e-08,4092.1952662513268,4.2981920812389586e-08,4.298192081238958e-06,4.298192081238958e-06,True,2022-09-01,False,
4006.25,3923.25,25.559999465942383,1.6101286213768404,4167.514444734775,4209.189589182122,3844.9855552652257,3806.535699712573,41.67514444734752,4.305966238666458e-08,4167.514440428786,4.305966238666458e-08,4.305966238666458e-06,4.305966238666458e-06,True,2022-09-02,False,
3934.0,3906.0,25.469999313354492,1.6044591446695682,4091.798556878252,4132.716542447034,3776.2014431217476,3738.43942869053,40.917985568782115,4.207531916214593e-08,4091.7985526706793,4.207531916214593e-08,4.207531916214593e-06,4.207531916214593e-06,True,2022-09-06,False,
3906.75,3983.5,26.90999984741211,1.6951706518342504,4072.3151986013363,4113.03835058735,3741.1848013986632,3703.7729533846764,40.72315198601336,4.5163637730150844e-08,4072.3151940849725,4.5163637730150844e-08,4.516363773015084e-06,4.516363773015084e-06,True,2022-09-07,False,
3955.25,4002.0,24.639999389648438,1.552174064042692,4108.730911670121,4149.818220786822,3801.7690883298783,3763.7513974465796,41.08730911670136,4.04060228293309e-08,4108.730907629534,4.04060228293309e-08,4.040602282933089e-06,4.040602282933089e-06,True,2022-09-08,False,
4029.25,4072.0,23.610000610351562,1.4872902397398433,4179.066604961794,4220.857271011412,3879.4333950382056,3840.6390610878234,41.79066604961827,3.8839070921001744e-08,4179.06660107792,3.8839070921001744e-08,3.8839070921001744e-06,3.8839070921001744e-06,True,2022-09-09,False,
4089.5,4105.75,22.790000915527344,1.4356351143195163,4236.275745000241,4278.638502450243,3942.724254999758,3903.2970124497606,42.36275745000239,3.760049532546092e-08,4236.27574124019,3.760049532546092e-08,3.7600495325460916e-06,3.7600495325460916e-06,True,2022-09-12,False,
4019.25,3933.25,23.8700008392334,1.5036687146551104,4170.340512034439,4212.043917154783,3868.1594879655613,3829.4778930859056,41.70340512034454,3.9319992901996176e-08,4170.340508102455,3.9319992901996176e-08,3.931999290199617e-06,3.931999290199617e-06,True,2022-09-13,False,
