date,close,contribution,shares_bought,cum_contributed,cum_shares,market_value,pnl_dollars,mode
2023-06-14,420.7008972167969,0.0,0.0,27000.0,68.11495009048528,28656.020616944497,1656.0206169444973,monthly_dca
2023-06-15,425.9166259765625,0.0,0.0,27000.0,68.11495009048528,29011.289721101442,2011.2897211014424,monthly_dca
2023-06-16,424.4658203125,0.0,0.0,27000.0,68.11495009048528,28912.46816570283,1912.4681657028304,monthly_dca
2023-06-20,422.2636413574219,0.0,0.0,27000.0,68.11495009048528,28762.46685608737,1762.4668560873688,monthly_dca
2023-06-21,420.1000671386719,0.0,0.0,27000.0,68.11495009048528,28615.09510616015,1615.0951061601518,monthly_dca
2023-06-22,421.6165771484375,0.0,0.0,27000.0,68.11495009048528,28718.392109787055,1718.3921097870552,monthly_dca
2023-06-23,418.42913818359375,0.0,0.0,27000.0,68.11495009048528,28501.279863780255,1501.2798637802553,monthly_dca
2023-06-26,416.7195129394531,0.0,0.0,27000.0,68.11495009048528,28384.828825602184,1384.8288256021842,monthly_dca
2023-06-27,421.2880859375,0.0,0.0,27000.0,68.11495009048528,28696.016947348886,1696.0169473488859,monthly_dca
2023-06-28,421.5006408691406,0.0,0.0,27000.0,68.11495009048528,28710.495115909074,1710.4951159090742,monthly_dca
2023-06-29,423.1618957519531,0.0,0.0,27000.0,68.11495009048528,28823.65140933942,1823.6514093394217,monthly_dca
2023-06-30,428.155517578125,0.0,0.0,27000.0,68.11495009048528,29163.791710799876,2163.7917107998765,monthly_dca
2023-07-03,428.64813232421875,1000.0,2.332915798741017,28000.0,70.44786588922629,30197.346139643887,2197.346139643887,monthly_dca
2023-07-05,428.01068115234375,0.0,0.0,28000.0,70.44786588922629,30152.43906497671,2152.4390649767083,monthly_dca
2023-07-06,424.6590576171875,0.0,0.0,28000.0,70.44786588922629,29916.324339660845,1916.324339660845,monthly_dca
2023-07-07,423.5869140625,0.0,0.0,28000.0,70.44786588922629,29840.794114306223,1840.7941143062235,monthly_dca
2023-07-10,424.6590576171875,0.0,0.0,28000.0,70.44786588922629,29916.324339660845,1916.324339660845,monthly_dca
2023-07-11,427.3634948730469,0.0,0.0,28000.0,70.44786588922629,30106.846172767455,2106.846172767455,monthly_dca
2023-07-12,430.8020324707031,0.0,0.0,28000.0,70.44786588922629,30349.083808302203,2349.0838083022027,monthly_dca
2023-07-13,434.2212829589844,0.0,0.0,28000.0,70.44786588922629,30589.962708142313,2589.962708142313,monthly_dca
2023-07-14,433.9508056640625,0.0,0.0,28000.0,70.44786588922629,30570.908159943578,2570.9081599435776,monthly_dca
2023-07-17,435.45758056640625,0.0,0.0,28000.0,70.44786588922629,30677.057236189143,2677.0572361891427,monthly_dca
2023-07-18,438.6932678222656,0.0,0.0,28000.0,70.44786588922629,30905.004498049402,2905.004498049402,monthly_dca
2023-07-19,439.66888427734375,0.0,0.0,28000.0,70.44786588922629,30973.734595236067,2973.7345952360665,monthly_dca
2023-07-20,436.7518615722656,0.0,0.0,28000.0,70.44786588922629,30768.236570912894,2768.2365709128935,monthly_dca
2023-07-21,436.7518615722656,0.0,0.0,28000.0,70.44786588922629,30768.236570912894,2768.2365709128935,monthly_dca
2023-07-24,438.70294189453125,0.0,0.0,28000.0,70.44786588922629,30905.686015794974,2905.686015794974,monthly_dca
2023-07-25,439.9006652832031,0.0,0.0,28000.0,70.44786588922629,30990.063072452518,2990.063072452518,monthly_dca
2023-07-26,439.96826171875,0.0,0.0,28000.0,70.44786588922629,30994.825097078516,2994.8250970785157,monthly_dca
2023-07-27,437.05126953125,0.0,0.0,28000.0,70.44786588922629,30789.329222653592,2789.3292226535923,monthly_dca
2023-07-28,441.3301086425781,0.0,0.0,28000.0,70.44786588922629,31090.764306530014,3090.7643065300144,monthly_dca
2023-07-31,442.1704406738281,0.0,0.0,28000.0,70.44786588922629,31149.963904769935,3149.9639047699347,monthly_dca
2023-08-01,440.9051818847656,1000.0,2.268061345356015,29000.0,72.71592723458231,32060.829123282896,3060.829123282896,monthly_dca
2023-08-02,434.77178955078125,0.0,0.0,29000.0,72.71592723458231,31614.833812623743,2614.833812623743,monthly_dca
2023-08-03,433.5258483886719,0.0,0.0,29000.0,72.71592723458231,31524.23404574123,2524.2340457412283,monthly_dca
2023-08-04,431.5651550292969,0.0,0.0,29000.0,72.71592723458231,31381.660410091587,2381.6604100915865,monthly_dca
2023-08-07,435.33203125,0.0,0.0,29000.0,72.71592723458231,31655.572307257913,2655.572307257913,monthly_dca
2023-08-08,433.4389343261719,0.0,0.0,29000.0,72.71592723458231,31517.914009096814,2517.914009096814,monthly_dca
2023-08-09,430.54119873046875,0.0,0.0,29000.0,72.71592723458231,31307.202478374606,2307.2024783746056,monthly_dca
2023-08-10,430.69580078125,0.0,0.0,29000.0,72.71592723458231,31318.444509849534,2318.4445098495344,monthly_dca
2023-08-11,430.4446105957031,0.0,0.0,29000.0,72.71592723458231,31300.178982595266,2300.1789825952656,monthly_dca
2023-08-14,432.8207702636719,0.0,0.0,29000.0,72.71592723458231,31472.96363610903,2472.9636361090306,monthly_dca
2023-08-15,427.7788391113281,0.0,0.0,29000.0,72.71592723458231,31106.33493731343,2106.3349373134297,monthly_dca
2023-08-16,424.63970947265625,0.0,0.0,29000.0,72.71592723458231,30878.070214927844,1878.070214927844,monthly_dca
2023-08-17,421.404052734375,0.0,0.0,29000.0,72.71592723458231,30642.7864349909,1642.7864349908996,monthly_dca
2023-08-18,421.6068420410156,0.0,0.0,29000.0,72.71592723458231,30657.53244745653,1657.5324474565314,monthly_dca
2023-08-21,424.3500061035156,0.0,0.0,29000.0,72.71592723458231,30857.0041658178,1857.0041658178015,monthly_dca
2023-08-22,423.2005920410156,0.0,0.0,29000.0,72.71592723458231,30773.423456486646,1773.4234564866456,monthly_dca
2023-08-23,427.9140930175781,0.0,0.0,29000.0,72.71592723458231,31116.170050518496,2116.1700505184963,monthly_dca
2023-08-24,421.9835510253906,0.0,0.0,29000.0,72.71592723458231,30684.925190552956,1684.9251905529563,monthly_dca
2023-08-25,424.9584655761719,0.0,0.0,29000.0,72.71592723458231,30901.248860556665,1901.248860556665,monthly_dca
2023-08-28,427.65325927734375,0.0,0.0,29000.0,72.71592723458231,31097.20328324329,2097.2032832432888,monthly_dca
2023-08-29,433.8349609375,0.0,0.0,29000.0,72.71592723458231,31546.71145134911,2546.7114513491106,monthly_dca
2023-08-30,435.62176513671875,0.0,0.0,29000.0,72.71592723458231,31676.640575481946,2676.640575481946,monthly_dca
2023-08-31,434.9842834472656,0.0,0.0,29000.0,72.71592723458231,31630.285503338295,2630.285503338295,monthly_dca
2023-09-01,435.7956237792969,1000.0,2.294653606954156,30000.0,75.01058084153647,32689.282867884758,2689.282867884758,monthly_dca
2023-09-05,433.9122009277344,0.0,0.0,30000.0,75.01058084153647,32548.006225818834,2548.0062258188336,monthly_dca
2023-09-06,430.99517822265625,0.0,0.0,30000.0,75.01058084153647,32329.198658382975,2329.198658382975,monthly_dca
2023-09-07,429.6719055175781,0.0,0.0,30000.0,75.01058084153647,32229.93920416331,2229.939204163311,monthly_dca
2023-09-08,430.31915283203125,0.0,0.0,30000.0,75.01058084153647,32278.489601168567,2278.489601168567,monthly_dca
2023-09-11,433.149169921875,0.0,0.0,30000.0,75.01058084153647,32490.77082686922,2490.7708268692186,monthly_dca
2023-09-12,430.7730712890625,0.0,0.0,30000.0,75.01058084153647,32312.538288285174,2312.5382882851736,monthly_dca
2023-09-13,431.27532958984375,0.0,0.0,30000.0,75.01058084153647,32350.21297515926,2350.2129751592583,monthly_dca
2023-09-14,434.993896484375,0.0,0.0,30000.0,75.01058084153647,32629.144837816155,2629.144837816155,monthly_dca
2023-09-15,429.7530517578125,0.0,0.0,30000.0,75.01058084153647,32236.0260307764,2236.0260307764,monthly_dca
2023-09-18,430.0050354003906,0.0,0.0,30000.0,75.01058084153647,32254.92747016875,2254.92747016875,monthly_dca
2023-09-19,429.11328125,0.0,0.0,30000.0,75.01058084153647,32188.0364733801,2188.0364733801,monthly_dca
2023-09-20,425.1683349609375,0.0,0.0,30000.0,75.01058084153647,31892.12376084886,1892.123760848859,monthly_dca
2023-09-21,418.1409606933594,0.0,0.0,30000.0,75.01058084153647,31364.996335246957,1364.9963352469567,monthly_dca
2023-09-22,417.2007141113281,0.0,0.0,30000.0,75.01058084153647,31294.467892994522,1294.4678929945221,monthly_dca
2023-09-25,418.9551086425781,0.0,0.0,30000.0,75.01058084153647,31426.0660458088,1426.0660458087987,monthly_dca
2023-09-26,412.8002014160156,0.0,0.0,30000.0,75.01058084153647,30964.382879718578,964.3828797185779,monthly_dca
2023-09-27,412.9649353027344,0.0,0.0,30000.0,75.01058084153647,30976.739664245633,976.7396642456333,monthly_dca
2023-09-28,415.35906982421875,0.0,0.0,30000.0,75.01058084153647,31156.32508531495,1156.3250853149511,monthly_dca
2023-09-29,414.35101318359375,0.0,0.0,30000.0,75.01058084153647,31080.7101711805,1080.7101711805008,monthly_dca
2023-10-02,414.186279296875,1000.0,2.4143725902693003,31000.0,77.42495343180576,32068.35338665344,1068.3533866534417,monthly_dca
2023-10-03,408.64190673828125,0.0,0.0,31000.0,77.42495343180576,31639.080599495737,639.0805994957373,monthly_dca
2023-10-04,411.6176452636719,0.0,0.0,31000.0,77.42495343180576,31869.477016249337,869.4770162493369,monthly_dca
2023-10-05,411.4625244140625,0.0,0.0,31000.0,77.42495343180576,31857.46679169203,857.4667916920298,monthly_dca
2023-10-06,416.3477478027344,0.0,0.0,31000.0,77.42495343180576,32235.70498506392,1235.7049850639196,monthly_dca
2023-10-09,419.0133361816406,0.0,0.0,31000.0,77.42495343180576,32442.088041169096,1442.088041169096,monthly_dca
2023-10-10,421.1941833496094,0.0,0.0,31000.0,77.42495343180576,32610.940031590962,1610.9400315909625,monthly_dca
2023-10-11,422.9195251464844,0.0,0.0,31000.0,77.42495343180576,32744.524539867958,1744.524539867958,monthly_dca
2023-10-12,420.34124755859375,0.0,0.0,31000.0,77.42495343180576,32544.901517691258,1544.901517691258,monthly_dca
2023-10-13,418.24755859375,0.0,0.0,31000.0,77.42495343180576,32382.797747087545,1382.7977470875448,monthly_dca
2023-10-16,422.6481628417969,0.0,0.0,31000.0,77.42495343180576,32723.51432606438,1723.5143260643817,monthly_dca
